localization_event_id,array,event_timestamp,bird_position_x,bird_position_y,distance_to_mic_m,aiid_label,data_split,clip_name,song_center_time
SBT-6-76_oven_1277,SBT-6-76,2016-06-25 08:10:54-06:00,298.121452,81.29255885,17.402300408659205,1,test,0506_oven01.mp3,5
SBT-6-76_oven_1265,SBT-6-76,2016-06-25 07:55:00-06:00,294.7144189,84.2550371,75.05310398742722,1,test,0492_oven01.mp3,5
SBT-6-76_oven_0256,SBT-6-76,2016-06-22 05:43:15-06:00,281.3737372,107.9967024,34.226740356678256,1,test,0107_oven01.mp3,5
SBT-6-76_oven_1300,SBT-6-76,2016-06-25 08:21:48-06:00,307.2094146,74.16954048,37.20321397759448,1,test,0531_oven01.mp3,5
SBT-6-76_oven_0256,SBT-6-76,2016-06-22 05:43:15-06:00,281.3737372,107.9967024,30.54967549637229,1,test,0103_oven01.mp3,5
SBT-6-76_oven_1237,SBT-6-76,2016-06-25 07:49:36-06:00,301.0967451,77.95518574,38.835569285699485,1,test,0479_oven01.mp3,5
SBT-6-76_oven_1185,SBT-6-76,2016-06-25 07:26:09-06:00,296.0823092,78.26269215,84.20766238668412,1,test,0444_oven01.mp3,5
SBT-6-76_oven_0331,SBT-6-76,2016-06-22 06:22:15-06:00,275.0273002,90.09364737,67.94649471701607,1,test,0136_oven01.mp3,5
SBT-6-76_oven_0575,SBT-6-76,2016-06-22 08:30:33-06:00,306.7524749,74.06561283,11.292390142241276,1,test,0270_oven01.mp3,5
SBT-6-76_oven_0059,SBT-6-76,2016-06-21 08:10:03-06:00,308.0219944,94.40395049,32.87081250144826,1,test,0014_oven01.mp3,5
SBT-6-76_oven_1060,SBT-6-76,2016-06-25 06:33:03-06:00,34.3342247,103.8375262,49.41852260078084,2,test,0407_oven02.mp3,5
SBT-6-76_oven_0999,SBT-6-76,2016-06-25 05:45:30-06:00,21.5847878,111.2977916,22.053832458512595,2,test,0383_oven02.mp3,5
SBT-6-76_oven_1232,SBT-6-76,2016-06-25 07:48:36-06:00,18.08622985,110.1392799,38.12524721708088,2,test,0474_oven02.mp3,5
SBT-6-76_oven_1055,SBT-6-76,2016-06-25 06:31:33-06:00,37.25103634,102.2180118,25.02302326457537,2,test,0401_oven02.mp3,5
SBT-6-76_oven_1072,SBT-6-76,2016-06-25 06:36:09-06:00,33.96574827,104.4705231,37.43636702,2,test,0412_oven02.mp3,5
SBT-6-76_oven_1079,SBT-6-76,2016-06-25 06:37:45-06:00,34.57453425,103.9250263,26.86609054673968,2,test,0416_oven02.mp3,5
SBT-6-76_oven_0999,SBT-6-76,2016-06-25 05:45:30-06:00,21.5847878,111.2977916,37.53908833618638,2,test,0380_oven02.mp3,5
SBT-6-76_oven_0570,SBT-6-76,2016-06-22 08:28:18-06:00,18.71936899,112.4440995,30.19759469664421,2,test,0263_oven02.mp3,5
SBT-6-76_oven_1060,SBT-6-76,2016-06-25 06:33:03-06:00,34.3342247,103.8375262,36.36573384730007,2,test,0410_oven02.mp3,5
SBT-6-76_oven_0755,SBT-6-76,2016-06-23 06:48:21-06:00,21.04453462,86.99778324,49.50173516,2,test,0329_oven02.mp3,5
SBT-6-76_oven_1259,SBT-6-76,2016-06-25 07:54:06-06:00,154.9617983,100.8420295,37.33066953806245,3,test,0484_oven03.mp3,5
SBT-6-76_oven_0536,SBT-6-76,2016-06-22 08:08:06-06:00,153.9841203,120.2468144,60.89911310809296,3,test,0251_oven03.mp3,5
SBT-6-76_oven_0512,SBT-6-76,2016-06-22 08:02:15-06:00,155.1733813,115.3853881,9.928866217826746,3,test,0245_oven03.mp3,5
